ChainName,PrimaryCategory
Makro Spain,Mass Merchant
Malama Market,Grocery
Malani World Mercato,Home + Housewares
Malco Theatres,Theatres
Malin & Goetz,Cosmetics + Beauty Supplies
Malon D. Mimms Company,Commercial Properties
"Malone's Cost Plus",Grocery
"Mama Fu's Asian House",Restaurant - Casual
Mambo Seafood,Restaurant - Casual
Mammoth Detail,Car Wash
Mammoth Holdings,Car Wash
"Mamoun's Falafel",Restaurant - QSR/Fast Food
ManCave For Men,Hair
Manchu Wok,Restaurant - QSR/Fast Food
"Mancini's Sleepworld",Furnishings
Mandarin Oriental Hotel Group,Hotels
Mandarin Restaurants,Restaurant - Casual
Mandee,Clothing - Womens
Mandola?s Italian Kitchen,Restaurant - Casual
Mango,Clothing - Family/Unisex
Mango Mango Dessert,Restaurant - Bakery/Desserts
Manhattan Bagel,Restaurant - Bakery/Desserts
Manheim,New/Used Car Dealers
Manitoba Liquor Mart (MLCC),"Beer, Wine, + Liquor Stores"
Manlove Auto Parts,"Auto Service, Parts, + Tires"
Manpower,Staffing/Employment
Maple Bear USA,Child Care
Maple Street Biscuit Company,Restaurant - Casual
Marathon Petroleum,Gas Stations
Marathon Sports,Footwear
Marble Slab Creamery,Restaurant - Bakery/Desserts
Marble Slab Creamery Canada,Restaurant - Bakery/Desserts
Marc Jacobs,Clothing - Womens
"Marc's",Grocery
Marc-1 Car Wash,Car Wash
Marché Adonis,Grocery
Marché Ami,Grocery
Marché Bonichoix,Grocery
Marché Extra Canada,Grocery
Marché Richelieu,Grocery
"Marco's Pizza",Restaurant - QSR/Fast Food
Marcus Theatres,Theatres
Mardel,Books
Margaritas,Restaurant - Bar/Pub
Margaritaville,Restaurant - Bar/Pub
Margaritaville (Hotels & Resorts),Hotels
Maria Empanada,Restaurant - QSR/Fast Food
"Maria's Italian Kitchen",Restaurant - Casual
"Mariana's Markets",Grocery
"Mariano's",Grocery
"Marie Callender's",Restaurant - Casual
Marie Claire Boutiques,Clothing - Womens
Marine Layer,Clothing - Family/Unisex
MarineMax,"Auto Service, Parts, + Tires"
"Mark's Work Warehouse",Clothing - Family/Unisex
Market Basket (DeMoulas),Grocery
Market Basket Foods,Grocery
Market District,Grocery
Market Street,Grocery
Market of Choice,Grocery
MarketPlace IGA,Grocery
Marketon,Grocery
Marketplace Foods,Grocery
Marks & Morgan Jewelers,Jewelry
Marks and Spencer India,Department Store
Marks and Spencer UK,Department Store
"Marlow's Tavern",Restaurant - Bar/Pub
Marmot,Clothing - Mens
Marquee Cinemas,Theatres
Marriott Executive Apartments,Hotels
Marriott Hotels & Resorts,Hotels
Marriott Vacation Club,Hotels
MarryBrown,Restaurant - QSR/Fast Food
Marshalls,Clothing - Family/Unisex
Martin Tire Company,"Auto Service, Parts, + Tires"
"Martin's BBQ Joint",Restaurant - Fast Casual
"Martin's Super Markets",Grocery
Martin?s Restaurant,Restaurant - QSR/Fast Food
Marugame Udon,Restaurant - Fast Casual
"Marvin's",Home Improvement + Building Supplies
"Mary Brown's",Restaurant - QSR/Fast Food
"Mary's Mountain Cookies",Restaurant - Bakery/Desserts
"Mary's Pizza Shack",Restaurant - Casual
Maryland Fried Chicken,Restaurant - QSR/Fast Food
Maserati,New/Used Car Dealers
Mason Asset Management,Commercial Properties
"Mason's Famous Lobster Rolls",Restaurant - Casual
Mass General Brigham Urgent Care,"Hospitals, Urgent Care, + Doctors"
Massage Addict,"Spa, Massage, + Esthetics"
Massage Envy,"Spa, Massage, + Esthetics"
Massage Green Spa,"Spa, Massage, + Esthetics"
Massage Heights,"Spa, Massage, + Esthetics"
Massage Retreat,"Spa, Massage, + Esthetics"
MassageLuxe,"Spa, Massage, + Esthetics"
Massey Ferguson,Agricultural and Industrial Equipment + Supplies
Massey Services,Flowers
Massimo Dutti,Clothing - Family/Unisex
Massis Kabob,Restaurant - QSR/Fast Food
Mast General Store,Mass Merchant
Master AutoTech,"Auto Service, Parts, + Tires"
Master Mechanic,"Auto Service, Parts, + Tires"
MasterCuts,Hair
Mastermind Toys,"Crafts, Toys, and Hobbies"
Masters Buy or Lease,Furnishing Rentals
"Mastro's Restaurants",Restaurant - Fine Dining
Matchbox PIzza,Restaurant - Casual
"Matherne's Super Market",Grocery
Mathis Brothers Furniture,Furnishings
Mathnasium,"Schools, Tutoring, + Education"
Matt & Nat,Clothing - Family/Unisex
Matthews Mattress,Mattress Store
Mattison Avenue Salon Suites & Spa,Hair
Mattress Depot USA,Furnishings
Mattress Firm,Furnishings
Mattress King,Furnishings
Mattress King Nashville,Mattress Store
Mattress One,Furnishings
Mattress Warehouse,Furnishings
Mattress World Northwest,Furnishings
MattressPro,Furnishings
Maui Tacos,Restaurant - Fast Casual
Maverik,Gas Stations
Mavi Jeans,Clothing - Family/Unisex
Mavis Tire,"Auto Service, Parts, + Tires"
"Max & Erma's",Restaurant - Casual
Max Finkelstein,"Auto Service, Parts, + Tires"
Max Mara,Clothing - Mens
Max Muscle,"Vitamins, Nutrition, and Supplements"
Maxi,Grocery
Maxmotion Physical Therapy,Physical Therapy + Rehabilitation
Maxway,Discount Stores
Mayors,Jewelry
Mayors - Distributor Locations,Jewelry
Mayweather Boxing + Fitness,Gyms + Fitness Facilities
Mazda,New/Used Car Dealers
Mazda Canada,New/Used Car Dealers
"Mazzio's Italian Eatery",Restaurant - QSR/Fast Food
Mbk Senior Living,Misc. Health Supplies + Services
"McAlister's Deli",Restaurant - QSR/Fast Food
McCOR,Commercial Properties
"McCaffrey's",Grocery
McCarthy Tire Service,"Auto Service, Parts, + Tires"
"McConnell's ",Restaurant - Bakery/Desserts
"McCormick & Schmick's",Restaurant - Fine Dining
McCormick Paints,Home Improvement + Building Supplies
McCoy Tire,"Auto Service, Parts, + Tires"
"McCoy's Building Supply",Home Improvement + Building Supplies
"McDonald's Arabian Peninsula",Restaurant - QSR/Fast Food
"McDonald's Aruba + Curaçao",Restaurant - QSR/Fast Food
"McDonald's Australia + New Zealand",Restaurant - QSR/Fast Food
"McDonald's Austria",Restaurant - QSR/Fast Food
"McDonald's Azerbaijan",Restaurant - QSR/Fast Food
"McDonald's Belarus",Restaurant - QSR/Fast Food
"McDonald's Belgium",Restaurant - QSR/Fast Food
"McDonald's Bulgaria",Restaurant - QSR/Fast Food
"McDonald's Canada",Restaurant - QSR/Fast Food
"McDonald's Central America",Restaurant - QSR/Fast Food
"McDonald's China",Restaurant - QSR/Fast Food
"McDonald's Croatia",Restaurant - QSR/Fast Food
"McDonald's Cyprus",Restaurant - QSR/Fast Food
"McDonald's Czech Republic",Restaurant - QSR/Fast Food
"McDonald's Dominican Republic",Restaurant - QSR/Fast Food
"McDonald's Egypt",Restaurant - QSR/Fast Food
"McDonald's El Salvador ",Restaurant - QSR/Fast Food
"McDonald's Estonia",Restaurant - QSR/Fast Food
"McDonald's Finland",Restaurant - QSR/Fast Food
"McDonald's France",Restaurant - QSR/Fast Food
"McDonald's Georgia",Restaurant - QSR/Fast Food
"McDonald's Germany",Restaurant - QSR/Fast Food
"McDonald's Guam & Saipan",Restaurant - QSR/Fast Food
"McDonald's Hong Kong",Restaurant - QSR/Fast Food
"McDonald's Hungary",Restaurant - QSR/Fast Food
"McDonald's India",Restaurant - QSR/Fast Food
"McDonald's Indonesia",Restaurant - QSR/Fast Food
"McDonald's Ireland",Restaurant - QSR/Fast Food
"McDonald's Israel",Restaurant - QSR/Fast Food
"McDonald's Italy",Restaurant - QSR/Fast Food
"McDonald's Japan",Restaurant - QSR/Fast Food
"McDonald's Jordan",Restaurant - QSR/Fast Food
"McDonald's Kazakhstan",Restaurant - QSR/Fast Food
"McDonald's Korea",Restaurant - QSR/Fast Food
"McDonald's Latin America",Restaurant - QSR/Fast Food
"McDonald's Latvia",Restaurant - QSR/Fast Food
"McDonald's Lithuania",Restaurant - QSR/Fast Food
"McDonald's Malaysia",Restaurant - QSR/Fast Food
"McDonald's Malta",Restaurant - QSR/Fast Food
"McDonald's Moldova",Restaurant - QSR/Fast Food
"McDonald's Morocco",Restaurant - QSR/Fast Food
"McDonald's Netherlands",Restaurant - QSR/Fast Food
"McDonald's Pakistan",Restaurant - QSR/Fast Food
"McDonald's Philippines",Restaurant - QSR/Fast Food
"McDonald's Poland",Restaurant - QSR/Fast Food
"McDonald's Qatar",Restaurant - QSR/Fast Food
"McDonald's Romania",Restaurant - QSR/Fast Food
"McDonald's Saudi Arabia",Restaurant - QSR/Fast Food
"McDonald's Scandinavia",Restaurant - QSR/Fast Food
"McDonald's Serbia",Restaurant - QSR/Fast Food
"McDonald's Singapore Drive Thru",Restaurant - QSR/Fast Food
"McDonald's Slovakia",Restaurant - QSR/Fast Food
"McDonald's Slovenia",Restaurant - QSR/Fast Food
"McDonald's South Africa",Restaurant - QSR/Fast Food
"McDonald's Spain",Restaurant - QSR/Fast Food
"McDonald's Switzerland",Restaurant - QSR/Fast Food
"McDonald's Taiwan",Restaurant - QSR/Fast Food
"McDonald's Thailand",Restaurant - QSR/Fast Food
"McDonald's Turkey",Restaurant - QSR/Fast Food
"McDonald's UK",Restaurant - QSR/Fast Food
"McDonald's US",Restaurant - QSR/Fast Food
"McDonald's Ukraine",Restaurant - QSR/Fast Food
"McDonald's Vietnam",Restaurant - QSR/Fast Food
"McKay's Market",Grocery
McKinnons Market,Grocery
McLaren Dealers,New/Used Car Dealers
McLendon,Home Improvement + Building Supplies
McLeod Addictive Disease Center,Misc. Health Supplies + Services
McLeod Health,"Hospitals, Urgent Care, + Doctors"
McOptic,Optical
"McSpadden's Tire & Automotive","Auto Service, Parts, + Tires"
"Me-N-Ed's Pizzeria",Restaurant - QSR/Fast Food
"Meatheads ",Restaurant - Fast Casual
MedExpress Urgent Care,"Hospitals, Urgent Care, + Doctors"
MedMen,Cannabis Retail
MedSpring Urgent Care,"Hospitals, Urgent Care, + Doctors"
MedStar Health,"Hospitals, Urgent Care, + Doctors"
MedVet,Pet Health + Care
MedWise Urgent Care,"Hospitals, Urgent Care, + Doctors"
Mederi Caretenders,Misc. Health Supplies + Services
Medi-Weightloss,Weight Loss
Media Markt,Computers + Consumer Electronics
Medical Pharmacies Canada,Drug Stores + Pharmacies
Medicap Pharmacy,Drug Stores + Pharmacies
Medieval Times Entertainment,Restaurant - Casual
Medifast,Weight Loss
Medpost,"Hospitals, Urgent Care, + Doctors"
Meekhof Tire Sales & Service,"Auto Service, Parts, + Tires"
Meeks,Home Improvement + Building Supplies
Mega Furniture Texas,Furnishings
Mega Furniture USA,Furnishings
Megaplex Theatres,Theatres
Meijer,Grocery
Meineke Car Care Centers/Econo Lube,"Auto Service, Parts, + Tires"
Mejuri,Jewelry
Melanie Lyne,Clothing - Womens
Mellow Mushroom,Restaurant - Casual
Melrose,Clothing - Family/Unisex
Melt Pizzas,Restaurant - QSR/Fast Food
Melt Shop,Restaurant - QSR/Fast Food
Meltwich,Restaurant - Casual
Members 1st Federal Credit Union,Banks + Financial Services
Memorial Blood Centers,Misc. Health Supplies + Services
Memorial Hermann,"Hospitals, Urgent Care, + Doctors"
Memory Express,Computers + Consumer Electronics
Memphis Cash Saver,Grocery
Menards,Home Improvement + Building Supplies
"Menchie's",Restaurant - Bakery/Desserts
Mendocino Farms,Restaurant - Fast Casual
Mercadona,Grocery
Mercedes Benz Canada,New/Used Car Dealers
Mercedes Benz Service Department,"Auto Service, Parts, + Tires"
Mercedes Benz USA,New/Used Car Dealers
Mercedes Mexico,New/Used Car Dealers
Mercurys Coffee,Restaurant - Coffee/Tea
"Mercy ","Hospitals, Urgent Care, + Doctors"
Mercy Health System,"Hospitals, Urgent Care, + Doctors"
Meridian Credit Union,Banks + Financial Services
Meridian Senior Living,Misc. Health Supplies + Services
Merit Coffee,Restaurant - Coffee/Tea
Merle Norman Cosmetics,Cosmetics + Beauty Supplies
Merlin Complete Auto Care,"Auto Service, Parts, + Tires"
Merlone Geier Partners,Commercial Properties
Merrick,Pet Stores + Supplies
Merrill Gardens,Misc. Health Supplies + Services
Merritt Athletic Clubs,Gyms + Fitness Facilities
Merus Grill,Restaurant - Casual
Met Food,Grocery
MetLife - Auto Repair Shops,"Auto Service, Parts, + Tires"
MetLife - Insurance Agents,Insurance
Metabolic Research Center,Weight Loss
Metro Commercial,Commercial Properties
Metro Dentalcare,Dental
Metro Diner,Restaurant - Casual
Metro Express,Car Wash
Metro Market,Grocery
Metro Mattress,Furnishings
Metro Pharmacy,Drug Stores + Pharmacies
Metro Self Storage,Storage
Metro Supermarkets,Grocery
Metro by T-Mobile,Communications
Metropolitan Markets,Grocery
Metropolitan Theatres,Theatres
Mez Contemporary Mexican,Restaurant - Casual
Mezeh Mediterranean Grill,Restaurant - Fast Casual
Mezza Mediterranean Grille,Restaurant - Fast Casual
Mi Cocina,Restaurant - Casual
Mi Pueblo Foods,Grocery
Mi Tienda,Grocery
Mia & Maxx Hair Studio,Hair
Miami Subs,Restaurant - QSR/Fast Food
Michael Kors,Clothing - Family/Unisex
Michael of the Carlyle,Hair
Michaels,"Crafts, Toys, and Hobbies"
Michaels Jewelers,Jewelry
Michel Tires Plus,"Auto Service, Parts, + Tires"
"Michel's Bakery Café",Restaurant - Bakery/Desserts
Michigan Urgent Care,"Hospitals, Urgent Care, + Doctors"
Mici Handcrafted Italian,Restaurant - Fast Casual
Micro Center,Computers + Consumer Electronics
Microsoft Store,Computers + Consumer Electronics
Microtel Inn & Suites,Hotels
Mid America Clinical Laboratories,Misc. Health Supplies + Services
Mid Kansas Cooperative Association (MKC),Agricultural Feed + Seed
Midas,"Auto Service, Parts, + Tires"
Midici,Restaurant - Fast Casual
Midland Atlantic,Commercial Properties
Midtown Athletic Clubs,Gyms + Fitness Facilities
Midwest Dental,Dental
Midwest Express Clinic,"Hospitals, Urgent Care, + Doctors"
Midwest Retail Properties,Commercial Properties
Midwood Smokehouse,Restaurant - Casual
Mighty Fine Burgers,Restaurant - Fast Casual
"Mighty Quinn's BBQ",Restaurant - Fast Casual
Mighty Taco,Restaurant - QSR/Fast Food
Mighty Wash,Car Wash
"Miguel's Jr",Restaurant - Fast Casual
Mike More Miles,"Auto Service, Parts, + Tires"
"Mike's Carwash",Car Wash
"Mike's Restaurants",Restaurant - Casual
Mike?s Auto Body,"Auto Service, Parts, + Tires"
"Milam's Market",Grocery
Milan Laser,"Spa, Massage, + Esthetics"
"Milestone's Grill and Bar",Restaurant - Casual
Milex Complete Auto Care,"Auto Service, Parts, + Tires"
"Milio's",Restaurant - QSR/Fast Food
Milk + Honey,"Spa, Massage, + Esthetics"
Milk Bar,Restaurant - Bakery/Desserts
Miller Paint,Home Improvement + Building Supplies
"Miller's Ale House",Restaurant - Casual
Mills Fleet Farm,Agricultural Feed + Seed
"Milo's Hamburgers",Restaurant - QSR/Fast Food
"Mimi's Cafe",Restaurant - Casual
Mini Canada,New/Used Car Dealers
Mini U Storage,Storage
MiniLuxe,"Spa, Massage, + Esthetics"
Miniso Canada,Mass Merchant
Miniso US,Cosmetics + Beauty Supplies
Minit Mart,Convenience Store
Minneapolis Heart Institute,"Hospitals, Urgent Care, + Doctors"
Minnieland Academy,Child Care
Mint Eco Car Wash,Car Wash
Mint Health,Drug Stores + Pharmacies
MinuteClinic,"Hospitals, Urgent Care, + Doctors"
Minuteman Press,"Printing, Copying + Publishing"
Minuti Coffee,Restaurant - Coffee/Tea
Mirabito Energy Products,Gas Stations
Miracle-Ear,Hearing Care
Miraval,Hotels
Mirror,Gyms + Fitness Facilities
Miss A,Cosmetics + Beauty Supplies
Miss Etam,Clothing - Womens
Miss Selfridge,Clothing - Womens
Miss Selfridge - Distributor Locations,Clothing - Womens
Mission BBQ,Restaurant - Fast Casual
Mississippi HomeCare,Senior Living
Missoni,Clothing - Family/Unisex
Mister Bs Car Wash,Car Wash
Mister Car Wash,Car Wash
Mister Money,Lending
Mister O1,Restaurant - Casual
Mitchell Gold + Bob Williams,Furnishings
"Mitchell's Ice Cream",Restaurant - Bakery/Desserts
Mitchell?s Fish Market,Restaurant - Fine Dining
Mitsubishi Canada,New/Used Car Dealers
Mitsubishi Motors,New/Used Car Dealers
Mitsuwa Marketplace,Grocery
Miu Miu,Clothing - Womens
MixStirs,Restaurant - Juice Bars
Mixt,Restaurant - Fast Casual
"Mo' Bettahs",Restaurant - Fast Casual
Mobil,Gas Stations
Mobil 1,"Auto Service, Parts, + Tires"
Mobile Mini,Storage
Moby Dick House of Kabob,Restaurant - Casual
Mock Tire,"Auto Service, Parts, + Tires"
Mod Wash,Car Wash
Modani Furniture,Furnishings
"Modell's Sporting Goods",Sports + Recreation
Modern Acupuncture,Misc. Health Supplies + Services
Modern Animal,"Hospitals, Urgent Care, + Doctors"
Modern Beauty,Cosmetics + Beauty Supplies
Modern Market,Restaurant - Fast Casual
"Moe's Original Bar B Que",Restaurant - Fast Casual
"Moe's Southwest Grill",Restaurant - Fast Casual
Mojo BBQ,Restaurant - Casual
Mollie Stones,Grocery
"Mom's Touch",Restaurant - Fast Casual
Momentum,Sports + Recreation
Moncler,Clothing - Family/Unisex
Mondou,Pet Health + Care
Money Man Pawn,Used Products
Money Mart,Lending
Moneytree,Lending
"Monical's Pizza",Restaurant - QSR/Fast Food
"Monkee's",Clothing - Womens
Monki,Clothing - Childrens
Monro Muffler Brake,"Auto Service, Parts, + Tires"
Monster Mini Golf,Sports + Recreation
Mont Tacos,Restaurant - Fast Casual
"Montana Mike's Steakhouse",Restaurant - Casual
"Montana's BBQ & Bar",Restaurant - Casual
Montblanc,Jewelry
Montessori Unlimited,Child Care
Monza,Restaurant - Casual
Moo Moo Express Car Wash,Car Wash
Moochie & Co,Pet Stores + Supplies
Moon Valley Nurseries,Agricultural and Industrial Equipment + Supplies
Moonbeam Capital,Commercial Properties
"Moore's Lumber & Hardware",Home Improvement + Building Supplies
Moores Clothing,Clothing - Mens
Moosejaw,Sports + Recreation
Moove In Self Storage,Storage
Mooyah,Restaurant - Fast Casual
Mor Furniture for Less,Furnishings
Morelia Ice Cream Paletas,Restaurant - Bakery/Desserts
Morgan Jewelers,Jewelry
Morgenthal Frederics,Optical
Morguard,Commercial Properties
Morning Star Senior Living,Misc. Health Supplies + Services
Morning Sun,"Vitamins, Nutrition, and Supplements"
Morphe,Cosmetics + Beauty Supplies
Morphe - Distributor Locations,Cosmetics + Beauty Supplies
Morrison Terrebonne,Home Improvement + Building Supplies
Morrisons UK,Grocery
Morse Clinics,Misc. Health Supplies + Services
Morton Williams Supermarkets,Grocery
"Morton's Grille",Restaurant - Fine Dining
"Morton's The Steakhouse",Restaurant - Fine Dining
Mostaza Argentina,Restaurant - QSR/Fast Food
Motel 6,Hotels
"Mother's",Restaurant - QSR/Fast Food
"Mother's Jamaica",Restaurant - QSR/Fast Food
"Mother's Market",Grocery
Motherhood Maternity,Clothing - Womens
Motherhood Maternity Outlet,Clothing - Womens
Motion Stretch Studio,Physical Therapy + Rehabilitation
Moto Guzzi,New/Used Car Dealers
MotoMart,Convenience Store
Motto by Hilton,Hotels
Mountain America Credit Union,Banks + Financial Services
Mountain Equipment Co-operative (MEC),Sports + Recreation
"Mountain Mike's Pizza",Restaurant - QSR/Fast Food
Mountain Warehouse,Sports + Recreation
MountainView Tire & Auto Service,"Auto Service, Parts, + Tires"
Mountainside Fitness Centers,Gyms + Fitness Facilities
Movati Athletic,Gyms + Fitness Facilities
Move It Storage,Storage
Movement,Sports + Recreation
Movie Tavern,Theatres
Movita Juice Bar,Restaurant - Juice Bars
Moxie?s Classic Grill,Restaurant - Casual
Moxy Hotels,Hotels
Mr Gas,Gas Stations
Mr Greek,Restaurant - QSR/Fast Food
"Mr Jim's Pizza",Restaurant - QSR/Fast Food
Mr Pizza,Restaurant - QSR/Fast Food
Mr Wash Car Wash,Car Wash
Mr. & Mrs. Crab,Restaurant - Casual
Mr. Chicken,Restaurant - QSR/Fast Food
Mr. Clean Car Wash,Car Wash
Mr. Fries Man,Restaurant - Casual
Mr. Hero,Restaurant - QSR/Fast Food
Mr. Lube,"Auto Service, Parts, + Tires"
Mr. Magic Car Wash,Car Wash
Mr. Mikes Steakhouse Casual,Restaurant - Casual
"Mr. Pickle's Sandwich Shop",Restaurant - Fast Casual
Mr. Pretzels,Restaurant - QSR/Fast Food
Mr. Puffs Pastry Canada,Restaurant - Bakery/Desserts
Mr. Smoothie,Restaurant - Juice Bars
Mr. Sub,Restaurant - QSR/Fast Food
Mr. Tire,"Auto Service, Parts, + Tires"
Mr. Transmission,"Auto Service, Parts, + Tires"
MrBeast Burger,Restaurant - QSR/Fast Food
Mrs. Fields,Food Retail (Non-Grocers)
"Mrs. Winner's Chicken & Biscuits",Restaurant - QSR/Fast Food
Mucho Burrito,Restaurant - QSR/Fast Food
Mud Bay,Pet Stores + Supplies
Muffin Plus,Restaurant - QSR/Fast Food
Mugshots Grill & Bar,Restaurant - Bar/Pub
Muji,Clothing - Family/Unisex
Multi Opticas Portugal,Optical
MultiCare,"Hospitals, Urgent Care, + Doctors"
Murale,Cosmetics + Beauty Supplies
"Murdoch's Ranch & Home Supply",Agricultural Feed + Seed
Murphy USA,Gas Stations
"Murphy's Deli",Restaurant - QSR/Fast Food
Muscle Maker Grill,Restaurant - Fast Casual
Music & Arts,Music
Music Go Round,Music
Mustang Cat,Agricultural and Industrial Equipment + Supplies
Mustard Seed Market & Café,Grocery
Mutts and Co,Pet Health + Care
My Dr Now,Misc. Health Supplies + Services
My Favorite Muffin,Restaurant - Bakery/Desserts
My Fitness Store,Sports + Recreation
My Hearing Centers,Hearing Care
My Pets Vet Group,"Hospitals, Urgent Care, + Doctors"
My Pets Wellness,"Hospitals, Urgent Care, + Doctors"
"My Pie ",Restaurant - Fast Casual
My Place Hotels,Hotels
My Salon Suite,Hair
MyEyeDr.,Optical
Mylands,Home Improvement + Building Supplies
MÖGE TEE,Restaurant - Coffee/Tea
MÜV Dispensary,Cannabis Retail
NAME IT,Clothing - Childrens
NAPA AutoCare Center,"Auto Service, Parts, + Tires"
NAPA AutoPro Canada,"Auto Service, Parts, + Tires"
NARS Cosmetics,Cosmetics + Beauty Supplies
NAYA,Restaurant - Fast Casual
NBT Bank,Banks + Financial Services
NCG Cinemas,Theatres
NEXT UK,Department Store
NOCO,Gas Stations
NORMS,Restaurant - Casual
NQR Grocery Clearance Store,Grocery
NVA Canada,"Hospitals, Urgent Care, + Doctors"
NVA Compassion-First,Veterinary + Animal Hospital
NW Sports Physical Therapy,Physical Therapy + Rehabilitation
NYX Cosmetics,Cosmetics + Beauty Supplies
Na Hoku,Jewelry
Naan Kabob,Restaurant - Fast Casual
Naartjie Kids,Clothing - Childrens
Nada,Restaurant - Fast Casual
Naf Naf Middle Eastern Grill,Restaurant - Fast Casual
Nalley Fresh,Restaurant - Fast Casual
Nam Dae Mun Farmers Market,Grocery
Namdar Realty Group,Commercial Properties
"Nancy's Pizzeria",Restaurant - QSR/Fast Food
"Nando's",Restaurant - Casual
"Nando's Australia",Restaurant - QSR/Fast Food
"Nando's South Africa",Restaurant - QSR/Fast Food
Napa Auto Parts,"Auto Service, Parts, + Tires"
Napoli Pizza,Restaurant - QSR/Fast Food
Napoli Taiwan,Restaurant - QSR/Fast Food
"Nardelli's",Restaurant - QSR/Fast Food
"Nathan's Famous",Restaurant - QSR/Fast Food
"Nation's Giant Hamburgers",Restaurant - Fast Casual
National Bank of Canada,Banks + Financial Services
National Bank of Canada - ATM Locations,Banks + Financial Services
National Car Rental,Car + Truck Rentals
National Co-Op Grocers,Grocery
National Costings & Supplies,Agricultural and Industrial Equipment + Supplies
National Credit Union Administration,Banks + Financial Services
National Cremation,Misc. Health Supplies + Services
National Fine Food & Spirits,Restaurant - Casual
National Kidney Partners,"Hospitals, Urgent Care, + Doctors"
National Lumber,Home Improvement + Building Supplies
National Real Estate Management,Commercial Properties
National Realty & Development Corp.,Commercial Properties
National Rent To Own,Furnishing Rentals
National Sports,Sports + Recreation
National TV Sales & Rental,Furnishing Rentals
National Tire & Battery (NTB),"Auto Service, Parts, + Tires"
Nationwide Vision,Optical
Native Foods Café,Restaurant - Fast Casual
Native Grill & Wings,Restaurant - Casual
Natura,Mattress Store
NaturaLawn,Flowers
Natural Balance Pet Foods,Pet Stores + Supplies
Natural Body,"Spa, Massage, + Esthetics"
Natural Force,"Vitamins, Nutrition, and Supplements"
Natural Grocers,Grocery
Natural Pawz,Pet Stores + Supplies
Natural Stone Institute,Home Improvement + Building Supplies
Naturalizer,Footwear
Nature Collection,Cosmetics + Beauty Supplies
Nature Republic,Cosmetics + Beauty Supplies
Naturepedic Organic Mattress,Furnishings
Natures Outlet,Grocery
Naturiste,Cosmetics + Beauty Supplies
Natuzzi,Home + Housewares
Nautica,Clothing - Womens
"Nautical Bowls ",Restaurant - Bakery/Desserts
Nautilus Plus,Gyms + Fitness Facilities
Navarro Discount Pharmacy,Drug Stores + Pharmacies
Navis Pack & Ship,Shipping
Navy Exchange,Mass Merchant
Navy Federal,Banks + Financial Services
Neal Tire & Auto,"Auto Service, Parts, + Tires"
Nebraska Furniture Mart,Furnishings
Nebraskaland Tire & Service,"Auto Service, Parts, + Tires"
Nectar Cannabis,Cannabis Retail
"Needler's Fresh Market",Grocery
Needs Convenience,Gas Stations
Neighborhood Farm & Pet Supply by PetCo,Pet Stores + Supplies
Neighborhood Veterinary Services,"Hospitals, Urgent Care, + Doctors"
Neiman Marcus,Department Store
Nelson,Clothing - Family/Unisex
Neptune Society,Misc. Health Supplies + Services
Nespresso Canada,Restaurant - Coffee/Tea
Nespresso US,Restaurant - Coffee/Tea
Nest Bedding,Furnishings
Nesters Market,Grocery
Nestlé Café,Restaurant - Bakery/Desserts
NetCost Market,Grocery
Neuhaus,Food Retail (Non-Grocers)
New Balance,Footwear
New Brunswick College of Pharmacists,Drug Stores + Pharmacies
New Day Recovery,Misc. Health Supplies + Services
New England Development,Commercial Properties
New Frontiers Natural Marketplace,Grocery
New Grand Mart,Grocery
New Hampshire Liquor & Wine Outlet,"Beer, Wine, + Liquor Stores"
New Holland Agriculture,Agricultural and Industrial Equipment + Supplies
New Horizon Academy,Child Care
New Market,Commercial Properties
New Orleans Original Daiquiris,Restaurant - Bar/Pub
New Orleans Pizza,Restaurant - QSR/Fast Food
New Season,Misc. Health Supplies + Services
New Seasons Market,Grocery
New York & Company,Clothing - Womens
"New York Blood Center ",Misc. Health Supplies + Services
New York Butcher Shoppe,Grocery
New York Community Bank,Banks + Financial Services
New York Fries,Restaurant - QSR/Fast Food
New York Health & Racquet Club,Gyms + Fitness Facilities
New York Sports Club,Gyms + Fitness Facilities
NewDay Veterinary Care,Pet Health + Care
NewLeaf,Cannabis Retail
NewMark Merrill,Commercial Properties
NewQuest Properties,Commercial Properties
NewYorker,Clothing - Family/Unisex
Newbury Comics,Books
Newburyport Bank,Banks + Financial Services
Newfoundland & Labrador Pharmacy Board,Drug Stores + Pharmacies
"Newk's Eatery",Restaurant - Fast Casual
Newport Creamery,Restaurant - Bakery/Desserts
Newtown Savings Bank,Banks + Financial Services
Newtown Savings Bank - ATMs,Banks + Financial Services
Next Door Store,Gas Stations
Next Level Burger,Restaurant - Fast Casual
Next Level Urgent Care,"Hospitals, Urgent Care, + Doctors"
NextCare Urgent Care,"Hospitals, Urgent Care, + Doctors"
Nic+Zoe,Clothing - Womens
Nick The Greek,Restaurant - QSR/Fast Food
Nickels Delicatessen,Restaurant - Casual
Nicola Crosby,Commercial Properties
"Nifty Fifty's",Restaurant - Fast Casual
Night Lite Pediatrics,"Hospitals, Urgent Care, + Doctors"
Nijiya Market,Grocery
Nike,Footwear
Nine West,Footwear
Nine West Canada,Footwear
Ninety Nine Restaurants,Restaurant - Casual
Nirvana Center Dispensaries,Cannabis Retail
Nissan,New/Used Car Dealers
Nissan Canada,New/Used Car Dealers
Nissen Finland,Optical
No 900 Pizzeria,Restaurant - Casual
